Use_Case_No,Use_Case_Type,Use_Case_Description,Date Added,Theme,Current_Target
20,Change Management,"Show evidence that a Project Manager defined, documented and maintained project detail( Data includes: Scope, objectives, goals and background information, Major project tasks, milestones and high level timeline, Desired system features and functions, Success metrics, Updates to above, as warranted based on changes to scope and timeline. Change Executive, Program Manager, Sponsoring Line of Business (LOB) Lead and Technology Lead* will review and approve this requirement as part of the tollgate.); PLN-100",8/1/2019,Change Mgmt Policy Adherence,Current
21,Change Management,"Show evidence that Project Manager identified, documented and maintained project detail (data includes: Geographic regions impacted by the change, People, process and/or technology impacts and dependencies, upstream and downstream of the change, including: Engineering, capacity planning, design, testing, implementation and ongoing production support, Shared application platforms and their tenants, Models and Spreadsheets under the Model Risk Policy, Artificial Intelligence/robotics, cloud, Items checked as “yes” on the project’s Materiality Assessment, Operational environment, Roles impacted by the change, Enterprise Independent Testing (EIT), Required stakeholders or project team members, Updates to impacts and dependencies as warranted, based on changes to project scope Change Executive, Program Manager, Sponsoring Line of Business (LOB) Lead and Technology Lead* will review and approve this requirement as part of the tollgate.); PLN-200",8/1/2019,Change Mgmt Policy Adherence,Current
22,Change Management,"Show evidence that a Project Manager reviewed Country/Industry Specific (CIS) LRRs and identified applicable impacts and dependencies. Change Executive, Program Manager, Sponsoring Line of Business (LOB) Lead and Technology Lead will review and approve this requirement as part of the tollgate.; PLN-200",8/1/2019,Change Mgmt Policy Adherence,Current
23,Change Management,Show evidence that a Project Manager engaged a Compliance and Operational Risk partner according to the criteria in the Change Assessment and Registration Standard to assess whether their involvement is required; PLN-200,8/1/2019,Change Mgmt Policy Adherence,Current
24,Change Management,"Show evidence of a Project Manager of projects with technology impacts considered Permit to Build requirements that include the following (data elements : Software Development, application re-write, new application developed/sourced, Manual Permit, Third Party/Vendor engagement, Personal data storage impacts, Existing Application impact, Edmo Application, Tier 0 and Tier 1 Application, Checkbox - There are no applications associate with this permit,  List existing applications (not in dev. status) that are participating in the project, Application bulk upload, and List new applications (must register in AIT...)These activities can occur concurrently with other Plan activities); PLN-200",8/1/2019,Change Mgmt Policy Adherence,Current
25,Change Management,Show evidence a Change Requester/Coordinator identified if the change request is potentially affected by a change restriction in the Technical Change SOR as mandated in the Technical Change Management Procedures; PLN-200,8/1/2019,Change Mgmt Policy Adherence,Current
26,Change Management,"Show evidence a Project Manager identified internal and external risks throughout the lifecycle of the project, including risks to: Project outcomes and objectives, Schedule, resources, budget, Employee and/or customer readiness, Technology readiness.
Project Manager identified internal and external risks throughout the lifecycle of the project, including risks to Regulatory implications including impacts to systems and processes supporting regulatory requirements, Risk acceptance, mitigation, and/or transfer strategies; PLN-300",8/1/2019,Change Mgmt Policy Adherence,Current
27,Change Management,"Show evidence a Project Manager documented and assessed every identified risk in the Project SOR for severity, probability and likelihood of detection. Sponsoring Line of Business (LOB) Lead and Technology Lead should have reviewed and approved risk assessments: Prior to the project Define Tollgate, Prior to the project Analyze/Expand/Build Tollgate, Throughout the remainder of the project, as warranted; PLN-300",8/1/2019,Change Mgmt Policy Adherence,Current
28,Change Management,"Show evidence a Project Manager documented a mitigation plan and assign an owner and a due date in the Project SOR for every risk rated as High/Red or Moderate/Yellow. Sponsoring Line of Business (LOB) Lead and Technology Lead*will review and approve risk assessments:
• Prior to the project Define Tollgate
• Prior to the project Analyze/Expand/Build Tollgate
• Throughout the remainder of the project, as warranted
Change Executive, Program Manager will review and approve risk assessments as part of the tollgate.; PLN-300",8/1/2019,Change Mgmt Policy Adherence,Current
29,Change Management,"Show evidence a Change Requester/ Change Coordinator completed a risk assessment for the change request in the Technical Change SOR, as mandated in the Technical Change Management Procedures; PLN-300",8/1/2019,Change Mgmt Policy Adherence,Current
30,Change Management,"Show evidence a Change Evaluation Coordinator documented a change evaluation for every change assessed to be Risk Level = 4/High or above, as mandated in the Technical Change Management Procedures; PLN-300",8/1/2019,Change Mgmt Policy Adherence,Current
31,Change Management,"Show evidence a Project Manager established, documented and maintained a plan for project administration that includes the following: Governance:
– Management of project condition 
– Governance routines
– Communication/meeting routines
– Evidence of stakeholder discussions
– Evidence of key decisions
– Problem resolution (recording, reporting, and monitoring)
– Escalation paths
– Quality reviews and approvals (to ensure that all applicable requirements met)
– Specific decision points for project modification or termination
– Stale project resolution
– Contingency and exit plans (in the event a project does not proceed as planned)
– Analyze and review the effectiveness of project management activities, (project condition, financials, development times) and review with senior management
– Cut-off dates after which requested changes are deferred to subsequent versions; PLN-400",8/1/2019,Change Mgmt Policy Adherence,Target
32,Change Management,"Show evidence a Project Manager established, documented and managed a change control process that includes: Method for controlling and documenting changes, List of change control approvers– Sponsoring LOB Lead and Technology Lead* are required approvers for non-administrative change controls) Sponsoring Line of Business (LOB) Lead and Technology Lead* must approve all non-administrative project change controls in the Project SOR.; PLN-400",8/1/2019,Change Mgmt Policy Adherence,Current
33,Change Management,"Show evidence a Project Manager established, documented and maintained a plan for project administration that includes the following Resources:
– Primary project resources and their roles and responsibilities including: sponsors, approvers and project team members
– Support and control function resources (as applicable) and their roles and responsibilities including: Compliance and Operational Risk, Audit, Legal, Global Procurement, Corporate Security, and Network personnel 
– Third Party Vendors (as applicable) and their roles and responsibilities 
– Detailed cost, staffing, resource, and training requirements; PLN-400",8/1/2019,Change Mgmt Policy Adherence,Current
34,Change Management,"Show evidence a Project Manager established, documented and maintained a plan for project administration that includes the following Financials: Project-level budget that includes costs and expenses such as personnel, travel, overhead, outsourcing and/or vendor, hardware, software, Budget reviews (planned vs actual, forecasts and projections, burn rate analysis, cost benefit analysis) , Budget adjustments, ensuring that that baseline budget and subsequent adjustments are retained; PLN-400",8/1/2019,Change Mgmt Policy Adherence,Target
35,Change Management,"show evidence a Project Manager completed the applicability assessment in the Enterprise Control Governance Tool for every significant deployment. Includes : Software Development, application re-write, new application developed/sourced, Manual Permit, Third Party/Vendor engagement, Personal data storage impacts, Existing Application impact, EDM Application, Tier 0 and Tier 1 Application, Checkbox - There are no applications associate with this permit,  List existing applications (not in dev. status) that are participating in the project, Application bulk upload, and List new applications (must register in AIT...)If a project has multiple significant deployments in a 90-day period, only a single Permit to Build is needed for that 90-day period. Permit to Build is not required for non-technology projects; BLD-500",8/1/2019,Change Mgmt Policy Adherence,Current
36,Change Management,Show evidence that a Project Manager must initiate a request for Permit to Build in the Enterprise Control Governance Tool for every significant deployment. ; BLD-500,8/1/2019,Change Mgmt Policy Adherence,Current
37,Change Management,Show evidence a Technology Lead must support project manager in gathering evidence for policy owner requirements to gain Permit to Build approvals.; BLD-500,8/1/2019,Change Mgmt Policy Adherence,Current
38,Change Management,Show evidence Policy Owners must provide approval that requirements for Permit to Build have been completed before build begins.; BLD-500,8/1/2019,Change Mgmt Policy Adherence,Target
39,Change Management,Show evidence Project Manager must not allow the solution to be built without an approved Permit to Build.; BLD-500,8/1/2019,Change Mgmt Policy Adherence,Target
40,Change Management,"Show evidence Project Manager must work with business and technology teams to develop detailed features and requirements to address changes to people, process and technology. Documentation of requirements must include: Assumptions, dependencies and constraints. Impact analysis of individual requirements, Control and security needs, Non-functional system requirements (NFRs); BLD-600",8/1/2019,Change Mgmt Policy Adherence,Current
41,Change Management,Show evidence of a Sponsoring Line of Business (LOB) Lead and Technology Lead reviewing and approving this requirement as part of the tollgate.; BLD-600,8/1/2019,Change Mgmt Policy Adherence,Current
42,Change Management,"Show evidence Project Manager worked with business and technology teams to develop design documentation that includes: All approved product and non-functional requirements, Analysis and documentation of specific system integration points, interaction model and dependencies. Designs for a logical and physical architecture solution to satisfy the product requirements. System architecture being evaluated against permitted technologies and technology strategies.  New or changed processes and operational support models; BLD-700",8/1/2019,Change Mgmt Policy Adherence,Current
43,Change Management,Show evidence a Compliance and Operational Risk partner must be consulted to validate that the design addresses regulatory-driven requirements for regulatory projects. Compliance and Operational Risk partner will review and approve this requirement as part of the tollgate.; BLD-700,8/1/2019,Change Mgmt Policy Adherence,Target
44,Change Management,"Show evidence a Project Manager ensured that the people, process and technology solutions were built according to the design. Sponsoring Line of Business (LOB) Lead and Technology Lead will review and approve this requirement as part of tollgate.; BLD-800",8/1/2019,Change Mgmt Policy Adherence,Current
45,Change Management,"Show Evidence Change Coordinator completed, documented, and obtained approval of the following: Product, application, technology code change completeness and accuracy; Version control in line with the configuration management procedure defined for the application(s).; BLD-800",8/1/2019,Change Mgmt Policy Adherence,Target
46,Change Management,"Show evidence a Project Manager documented the implementation approach for the project that includes: Identified and prioritized deployment events, including identification of significant deployments; Implementation timeline for the end-to-end change implementation (one or many deployments); Stakeholders and roles that need to be involved; Readiness and preparedness activities, including communication and learning; Estimated downtime; Contingency plans, inclusive of back-out strategy, The bundled / coordinated release name and date (if applicable).Change Executive, Program Manager, Sponsoring Line of Business (LOB) Lead and Technology Lead will review and approve this requirement as part of the tollgate. Technology Lead approval is not required for non-technology projects.; BLD-900",8/1/2019,Change Mgmt Policy Adherence,Target
47,Change Management,Show evidence a Project Manager reserved deployment dates in the Project SOR. ; BLD-900,8/1/2019,Change Mgmt Policy Adherence,Current
48,Change Management,"Show evidence a Change Coordinator must complete, document, and obtain approval of the following: Implementation plan, including pre and post-implementation activities/verification; Backout plan, including backout testing, backout steps and remediation/contingency plans; Start and end day/time for all activities in the change; BLD-900",8/1/2019,Change Mgmt Policy Adherence,Target
49,Change Management,Show evidence a Project Manager of projects with technology impacts initiated a request for a Permit to Operate in the Enterprise Control Governance (ECG) Tool for every significant deployment. ; DEP-1500,8/1/2019,Change Mgmt Policy Adherence,Current
50,Change Management,Show evidence Technology Lead must support the Project Manager in gathering evidence for policy owner requirements to gain Permit to Operate approvals.; DEP-1500,8/1/2019,Change Mgmt Policy Adherence,Target
51,Change Management,"Show evidence that Policy Owners provided approvals in the Enterprise Control Governance (ECG) Tool before the deployment begins, to affirm that requirements for Permit to Operate have been completed.
Non-technology projects are not required to gain a Permit to Operate; DEP-1500",8/1/2019,Change Mgmt Policy Adherence,Current
52,Change Management,Show evidence that a Project Manager does not allow technology solution(s) to deploy into production without an approved Permit to Operate. On-technology projects are not required to gain a Permit to Operate; DEP-1500,8/1/2019,Change Mgmt Policy Adherence,Current
53,Change Management,"Show evidence that a Project Manager provided the following information about the deployment:  Relevant tasks, considerations and dependencies, Specific tasks, roles and timeline for deployment events, Measures or metrics regarding stable performance or delivery for each key process or function, New or updated existing application/support documentation prior to deployment, Production support specifications including resources and response procedures if service levels are not satisfied, Key production controls to quickly detect any adverse impact on production processes following the deployment of a change, System recovery procedures and components, Communication of details of changes to all impacted parties. Sponsoring Line of Business (LOB) Lead and Technology Lead will review and approve this requirement as part of the tollgate. Technology Lead approval is not required for non-technology projects; DEP-1600",8/1/2019,Change Mgmt Policy Adherence,Target
54,Change Management,"Show evidence a Project Manager has confirmed deployment event dates in the Project System of Record, Added all related technical change requests (CRQs) to the deployment event in the Project System of Record.; DEP-1600",8/1/2019,Change Mgmt Policy Adherence,Current
55,Change Management,"Show evidence a Change Coordinator must link any Normal Change, Standard Change, Latent Change or Emergency Change associated with a project by entering the associated Project ID in the Technical Change SOR; DEP-1600",8/1/2019,Change Mgmt Policy Adherence,Current
56,Change Management,"Show evidence a Project Manager ensured that the following approvals have been obtained from authorized parties, prior to deployment: Testing completion approvals, Deployment plan approvals, Permit To Operate approvals (if applicable), Technical change request(s) (CRQ) approvals (if applicable)
Approvals for Non-Technology Projects must include representation from applicable control functions to ensure that the deployment supports business objectives and does not adversely affect operations or security; DEP-1700",8/1/2019,Change Mgmt Policy Adherence,Current
57,Change Management,Show evidence a Change Executive and Program Manager provided Go/No Go approval for the deployment. . Change Executive and Program Manager will review and approve this requirement as part of the tollgate; DEP-1700,8/1/2019,Change Mgmt Policy Adherence,Current
58,Change Management,"Show evidence a Change Coordinator submitted the technical change request (CRQ) for approval workflow based on: Type of change, Risk level of the change, Impacted areas; and The scope of active ChangeCon events A change record must not be submitted and approved by the same individual; DEP-1700",8/1/2019,Change Mgmt Policy Adherence,Current
59,Change Management,"Show evidence a Change Manager provided approval to deploy the change in a way that is traceable within the change record. Change Manager approval affirms that: All Required fields in the change record have been completed with accuracy and do not reference review of previous and/or related changes and • All Requirements are met for deployment, including: Change Plans, Change Package, Environment Setup, including separating the management functions of the production system with those of the development system and the testing system, Verify all test defects have been resolved and the defect fixes have been successfully tested and is ready for deployment, Availability and preparedness of Change Implementers, Dependent Changes, Copies required for back-out, A copy of the changed code (Emergency changes only), Other relevant deployment tasks; DEP-1700",8/1/2019,Change Mgmt Policy Adherence,Current
60,Change Management,"Show evidence a Technical Manager ensures for any new applications, AIT status reflects “In Production.”; DEP-1800",8/1/2019,Change Mgmt Policy Adherence,Target
61,Change Management,Show evidence a Change Implementer validated that the code deployment into production was performed by an individual or team not involved with developing or testing the code.; DEP-1800,8/1/2019,Change Mgmt Policy Adherence,Current
62,Change Management,"Show evidence a Change Manager provided Enterprise Change Management with the following for all Incidents caused by Change with a P1 or P2 Medium or Higher status and/or Regulatory Violations, within 72 hours after completion of Post Problem Review documentation: Evaluate non-material technical failed changes using the Enterprise Change Management (ECM) Materiality Assessment., Evaluate and identify the failure point (e.g. Plan, Build, Test, Deploy and/or Operate), Retain evidence that supports adherence to ECM standard requirements. Evidence must be stored in the designated repository and easily accessible to Enterprise Change Management upon request., Evidence must include all applicable references (Project #, CRQ#, Incident#, Problem ID#), Lack of adherence to above will be subject to escalation, as outlined in this Standard. Incidents that are associated with project (material change) deployments:  Enterprise Change Management, Project Manager and/or PMO must be engaged in all Post Problem Reviews (PPRs) related to P1/P2 medium or higher incidents caused by change; DEP-1900",8/1/2019,Change Mgmt Policy Adherence,Current
63,Change Management,Show evidence a Change Implementer documented the results of the change summarizing the outcome and any issues experienced; DEP-2000,8/1/2019,Change Mgmt Policy Adherence,Current
64,Change Management,"Show evidence an infrastructure Owner or Application Owner performed an environment reconciliation of components of the pre-production environment with the production environment. The reconciliation must include: Infrastructure components ; Hardware O/S (inclusive of patch level), O/S Version, Database, Software, 3rd party infrastructure software,  Security Patches,  Configurable Items (e.g. Configuration files, Timeouts &/or response times, Storage/data allocations),  Monitoring software
  Middleware software (e.g. MQ, WebSphere, Weblogic, etc.),  Appliances,  Load Balancing and Software (When not handled by an Appliance) Application Components : Application Software Version, Code version
 Individual applications, Configurable Items (e.g. Application Control data, Control Flag/Switch, Job definition) The reconciliation must be completed often enough to validate that, at the time of the deployment, the test environment is an accurate representation of the production environment. Note: Reconciliation must include matching resource components that are required to accurately predict scalability of the production configuration.; TST-1000",8/1/2019,Change Mgmt Policy Adherence,Target
65,Change Management,"Show Evidence a Senior Technical Manager provided approval validating the reconciliation. This approval will be captured as part of the tollgate and affirms that: Test environment is an adequate representation of the production environment, Front Line Unit and Control Function (FLU/CF) is willing to accept any risk associated with non-matching results , Front Line Unit and Control Function (FLU/CF) is willing to accept any risk associated with significant timing differences between testing and deployment, Test data managed in line with GIS and EDM Policy requirements, inclusive of test environment access management, data sanitization, and protection of non-public information during testing
Note: If it is deemed to be an acceptable risk to not perform the reconciliation because it has been performed recently enough that a previous reconciliation can suffice, the Senior Technical Manager must approve they accept the risk. The timing of the reconciliation, relative to a dependent technology solution’s testing and deployment, should not allow the introduction of change to either environment that would compromise reliability of the testing or the deployment.; TST-1000",8/1/2019,Change Mgmt Policy Adherence,Target
66,Change Management,"Show evidence a Testing Manager documented a test plan that includes : The types/phases of testing to be conducted, which must include User Acceptance Testing, End-to-End Testing, Functional Testing, Integration Testing , Parallel Testing , Regression Testing, Stress/Performance Testing, String Testing/CIT, System Testing/SIT, Unit Testing, Rationale for any test types/phases that were not needed, Entry and exit criteria that must be met for each test phase, Roles and responsibilities of resources who will be conducting tests
 Defect management process that will be used to track, report and document the resolution of all defects
 All dependencies must be identified and tested. This includes people, process, shared application platforms and their tenants, Enterprise Independent Testing (EIT), Models and Spreadsheets under the Model Risk Policy, Artificial Intelligence/robotics, cloud and other areas which may be impacted by the in-scope changes. Process for access management for test and production environments that is in compliance with the GIS Identity and Access Management (IAM) Standard. Senior Technical Manager must provide approval, captured as part of the tollgate, of the comprehensive testing approach. This approval affirms the acceptance of risk associated with any non-tested dependencies; TST-1100",8/1/2019,Change Mgmt Policy Adherence,Current
67,Change Management,"Show evidence a Testing Manager documented test scripts for each phase and type of testing.
Sponsoring Line of Business (LOB) Lead and Technology Lead will review and approve this requirement as part of tollgate; TST-1200",8/1/2019,Change Mgmt Policy Adherence,Current
68,Change Management,"Show evidence Compliance and Operational Risk partner must be consulted to ensure that the approach for testing the change implementation considers impacts to anything aligned with a regulation for those projects classified as regulatory, including test scripts specific to regulatory testing. Compliance and Operational Risk partner will review and approve this requirement as part of the tollgate.; TST-1200",8/1/2019,Change Mgmt Policy Adherence,Current
69,Change Management,Testers must conduct testing according to comprehensive testing approach; TST-1300,8/1/2019,Change Mgmt Policy Adherence,Current
70,Change Management,"Show evidence a Testing Manager must provide: Testing results,- Testing defects and resolution status, Approvals for entry and exit of each test phase; TST-1300",8/1/2019,Change Mgmt Policy Adherence,Current
71,Change Management,Show evidence a Testing Manager approved that any post production validation accounts used to certify the change in production were used appropriately and in compliance with the GIS Identity and Access Management (IAM) Standard. Testing Manager will review and approve this requirement as part of the tollgate.; TST-1300,8/1/2019,Change Mgmt Policy Adherence,Current
72,Change Management,Show evidence a Senior Technical Manager must review the testing results to ensure that all testing phases were completed as planned. Senior Technical Manager will review and approve this requirement as part of the tollgate.; TST-1400,8/1/2019,Change Mgmt Policy Adherence,Current
73,Change Management,"Show evidence a Senior Technical Manager reviewed testing defects and resolution status that a resolution has been provided for all defects (resolution = fixed, cannot reproduce, deferred, working as designed, etc.).Senior Technical Manager will review and approve this requirement as part of the tollgate; TST-1400",8/1/2019,Change Mgmt Policy Adherence,Current
74,Change Management,"Show evidence a Senior Technical Manager provided approval that testing has been completed. This approval confirms that: Testing Managers conducted tests according to plan, Entry/exit criteria have been met, Security controls were met with adherence within the construct of the GIS Identity and Access Management (IAM) Standard, Defects have been resolved or have acceptable resolution plans, and any risks associated with open defects, incomplete testing phases, and non-tested dependencies have been reviewed with the Sponsoring Line of Business and Technology teams Senior Technical Manager will review and approve this requirement as part of the tollgate; TST-1400",8/1/2019,Change Mgmt Policy Adherence,Current
75,Change Management,"Show evidence a Sponsoring Line of Business Lead and Technology Lead validated that all testing activities have been completed according to the comprehensive testing approach, testing defects have been appropriately disposition and that testing has been completed sufficiently. Sponsoring Line of Business (LOB) Lead and Technology Lead will review and approve this requirement as part of tollgate. ; TST-1400",8/1/2019,Change Mgmt Policy Adherence,Current
76,Change Management,"Show evidence that The Change Executive representing the FLU/CF Change Governance Function must: Confirm that the following have been considered for appropriate alignment of change execution resources , Level of decision making authority, Staffing levels and qualifications, Organization level to drive change, Segregation of duties 
• Communicate role accountability expectations, as appropriate: Management of risks associated with change, Managing funds appropriately throughout the change life cycle, Ensuring that the applied change execution methodologies are appropriate for a project’s characteristics and risks, Engaging appropriate regional (EMEA, APAC, LATAM, CAN) and other contacts, as applicable. As well as show Evidence: Confirmation approval, at least annually, from the Change Executive, validating requirement considerations and communications; CGO-100",8/1/2019,Change Mgmt Policy Adherence,Current
77,Change Management,"Show evidence The Change Executive representing the FLU/CF Change Governance Function confirmed that change-supporting resources are fully trained, including: Identification of required role resources for role-based training, All change awareness training is completed annually, as identified and assigned by Global Human Resources., All role based training is completed annually by employees and contractors assigned to required Enterprise Change Management roles. Show evidence: Confirmation approval, at least annually, from the Change Executive validating that they have reviewed and retained supporting artifacts. ; CGO-100",8/1/2019,Change Mgmt Policy Adherence,Target
78,Change Management,"Show evidence The Change Executive representing the FLU/CF Change Governance Function established Quality Assurance routines to provide Quality Assurance assessments that drive adherence of material change artifacts to: Address all requirements, including Country/Industry Specific Laws, Rules and Regulations. Support quality and accuracy of deliverables , Remediate any gaps identified during QA. Show Evidence: Confirmation approval, at least annually, from the Change Executive validating that the FLU/CF has established routines to meet requirements; CGO-100",8/1/2019,Change Mgmt Policy Adherence,Target
79,Change Management,"Show evidence The Change Executive representing the FLU/CF Change Governance Function ensured the data entered in all Enterprise Change Management approved Systems of Record are governed in alignment with Global Change Policy and the Enterprise Change Standards for, including: Accuracy, Completeness, Risk management. Show Evidence: Captured through EDM cascaded Metrics: Data Accuracy Controls Established and Monitored, Data Completeness Controls Established and Monitored, Manage EDM Risks Control Effectiveness; CGO-100",8/1/2019,Change Mgmt Policy Adherence,Target
80,Change Management,"Show evidence The Change Executive representing the FLU/CF Change Governance Function provided to Enterprise Change Management the FLU/CF’s approved definition of “significant” for determining Materiality and Releases, at least once per year. Materiality: FLU/CF approved levels of “significant” to evaluate change and determine materiality in support of the Change Assessment and Registration Standard, to Include criteria examples of significance, e.g. number/percentage of customers and/or employees impacted, development duration and hours, number of applications/processes affected, High Risk processes and critical applications.  Releases: FLU/CF approved definition of ‘significant change’ for technology and non-technology releases, Before submitting the definition of ‘significant’ to Enterprise Change Management, it must be approved by the Change Executive. 
Show Evidence: Change Executive approval at least annually, FLU/CF definitions submitted to Enterprise Change Management via the ECM IMR process at least annually for approval; CGO-100",8/1/2019,Change Mgmt Policy Adherence,Target
81,Change Management,"Show evidence The Change Executive and FLU/CF Change Governance Function resources acted as a liaison between Enterprise Change Management and the FLU/CF organizations by ensuring: Coordination with Enterprise Change Management and/or Control Functions, Participation in the Enterprise Change forums, meetings and routines (as appropriate) for defined roles, including but not limited to the following: Enterprise Change Management Forum, Enterprise Change Management Governance Council, Enterprise Change Management Executive Governance Council Failure of required roles’ participation is subject to escalation. Disseminating change updates and information throughout their organization 
Responding to new and emerging regulatory, compliance and or Enterprise Change generated requests, issues or risks. Show Evidence: Engagement confirmation approval, at least annually, from the Change Executive validating understanding of the liaison responsibilities ; CGO-100",8/1/2019,Change Mgmt Policy Adherence,Target
82,Change Management,"For technology incidents resulting from deployment of material change (projects), the Change Executive representing the FLU/CF Change Governance Function must confirm that a routine is in place to ensure that Enterprise Change Management is engaged for incidents “caused by change” as outlined in the deployment requirements of the Change Execution Standard. Show Evidence: Confirmation approval validating required routines are in place, at least annually, from the Change Executive ; CGO-100",8/1/2019,Change Mgmt Policy Adherence,Target
83,Change Management,"For technology change incidents not related to a project, Technical Change Operational Forum Leader (aka CAB/CAC) or an equivalent function must leverage or establish routines for incidents “caused by change” that: provide adherence with the deployment requirements outlined in the Change Execution Standard ; and provide for Quality Assurance assessments of applicable incidents caused by change. Show Evidence: Confirmation approval that routines are in place, at least annually, from Change Executive; CGO-100",8/1/2019,Change Mgmt Policy Adherence,Target
84,Change Management,"Show evidence The Change Executive representing the FLU/CF Change Governance Function had a routine in place to ensure that technical CRQs associated with projects are aligned appropriately in ITSM/Remedy and in the Project SOR. Show Evidence: Confirmation approval that routines are in place, at least annually, from the Change Executive; CGO-100",8/1/2019,Change Mgmt Policy Adherence,Target
85,Change Management,Show evidence The Change Executive representing the FLU/CF Change Governance Function ensured completion of Enterprise Change Management Quality Assurance (QA) that drives adherence with the Change Standards. Show evidence: Fully completed FLU/CF QA script assessments; CGO-200,8/1/2019,Change Mgmt Policy Adherence,Target
86,Change Management,"Change Governance Functions representing FLU/CFs that support technology change requests must: Provide Enterprise Change Management Quality Assurance (QA) assessments for adherence to the Change Execution Standard for Internally or externally developed solutions, including: Incidents Caused by Change:
  » All P1/High and P2/Medium (100%) within 3 days following completion of the Post Problem Review documentation
  » P2 Low with SIRs (100%) within 3 days following completion of the Post Problem Review documentation
  » P2 Low with No SIR (at least 5 per calendar month or 100% if less than 5 incidents) within in 10 days of incident triage completion
  » P3 (at least 18 per calendar month or 100% if less than 18 incidents) within 14 days of incident triage completion
Technology Change Requests (CRQs) closed successful - at least 5 per calendar month
Evidence: Fully completed Project or Technology Change Request (CRQ) QA Script assessments; CGO-200",8/1/2019,Change Mgmt Policy Adherence,Target
87,Change Management,"Show evidence a FLU/CF mitigated risks and control deficiencies in accordance with risk tolerance and within stated timelines provided in the escalation/consequence model, including but not limited to Key Performance Indicators, Key Risk Indicators, Enterprise Change Management Cascaded controls, Essential Enterprise Change Data Quality , Technical incidents caused by change analysis (all P1/High and P2/Medium) and thematic analysis trends that did not follow requirements. Show Evidence: Metric and control results.; CGO-500",8/1/2019,Change Mgmt Policy Adherence,Current
